French,English
partie,part
histoire,history
chercher,search
seulement,only
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
trouve,find
premier,first
main,hand
première,first
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
